Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife
ALO,1.0,103.608,,43.884,24.561,SOFT,4.0
HAM,1.0,102.288,,43.494,24.338,SOFT,4.0
LEC,1.0,100.23,,42.549,24.122,SOFT,1.0
RUS,1.0,102.662,,43.377,24.168,SOFT,4.0
SAI,1.0,101.659,,43.409,24.19,SOFT,4.0
VER,1.0,99.019,,42.414,23.842,SOFT,4.0
ALO,2.0,99.792,31.743,43.626,24.423,SOFT,5.0
HAM,2.0,99.166,31.408,43.352,24.406,SOFT,5.0
LEC,2.0,98.75,31.407,43.127,24.216,SOFT,2.0
RUS,2.0,99.59,31.709,43.468,24.413,SOFT,5.0
SAI,2.0,98.933,31.451,43.164,24.318,SOFT,5.0
VER,2.0,97.974,31.342,42.504,24.128,SOFT,5.0
ALO,3.0,99.1,31.541,43.276,24.283,SOFT,6.0
HAM,3.0,99.22,31.298,43.499,24.423,SOFT,6.0
LEC,3.0,98.658,31.238,43.103,24.317,SOFT,3.0
RUS,3.0,99.093,31.218,43.416,24.459,SOFT,6.0
SAI,3.0,99.042,31.374,43.257,24.411,SOFT,6.0
VER,3.0,98.006,31.388,42.469,24.149,SOFT,6.0
ALO,4.0,99.548,31.723,43.457,24.368,SOFT,7.0
HAM,4.0,99.198,31.315,43.446,24.437,SOFT,7.0
LEC,4.0,98.825,31.402,43.15,24.273,SOFT,4.0
RUS,4.0,99.261,31.267,43.497,24.497,SOFT,7.0
SAI,4.0,98.985,31.192,43.306,24.487,SOFT,7.0
VER,4.0,97.976,31.271,42.642,24.063,SOFT,7.0
ALO,5.0,99.662,31.705,43.553,24.404,SOFT,8.0
HAM,5.0,99.335,31.35,43.508,24.477,SOFT,8.0
LEC,5.0,98.664,31.543,42.943,24.178,SOFT,5.0
RUS,5.0,99.549,31.367,43.763,24.419,SOFT,8.0
SAI,5.0,99.128,31.048,43.623,24.457,SOFT,8.0
VER,5.0,98.035,31.244,42.724,24.067,SOFT,8.0
ALO,6.0,99.674,31.695,43.482,24.497,SOFT,9.0
HAM,6.0,99.756,31.434,43.751,24.571,SOFT,9.0
LEC,6.0,98.572,31.444,43.037,24.091,SOFT,6.0
RUS,6.0,99.493,31.196,43.619,24.678,SOFT,9.0
SAI,6.0,99.474,31.469,43.498,24.507,SOFT,9.0
VER,6.0,97.986,31.341,42.632,24.013,SOFT,9.0
ALO,7.0,99.729,31.675,43.494,24.56,SOFT,10.0
HAM,7.0,99.757,31.48,43.664,24.613,SOFT,10.0
LEC,7.0,98.691,31.441,43.08,24.17,SOFT,7.0
RUS,7.0,100.056,31.589,43.827,24.64,SOFT,10.0
SAI,7.0,99.502,31.546,43.469,24.487,SOFT,10.0
VER,7.0,98.021,31.29,42.763,23.968,SOFT,10.0
ALO,8.0,99.959,31.674,43.675,24.61,SOFT,11.0
HAM,8.0,100.267,31.718,43.82,24.729,SOFT,11.0
LEC,8.0,98.614,31.438,42.977,24.199,SOFT,8.0
RUS,8.0,100.31,31.522,44.119,24.669,SOFT,11.0
SAI,8.0,99.779,31.674,43.598,24.507,SOFT,11.0
VER,8.0,98.154,31.291,42.833,24.03,SOFT,11.0
ALO,9.0,100.275,31.774,43.819,24.682,SOFT,12.0
HAM,9.0,100.323,31.893,43.776,24.654,SOFT,12.0
LEC,9.0,98.828,31.503,43.09,24.235,SOFT,9.0
RUS,9.0,100.42,31.652,44.022,24.746,SOFT,12.0
SAI,9.0,99.744,31.602,43.608,24.534,SOFT,12.0
VER,9.0,98.278,31.336,42.823,24.119,SOFT,12.0
ALO,10.0,100.203,31.505,43.905,24.793,SOFT,13.0
HAM,10.0,100.289,31.649,43.985,24.655,SOFT,13.0
LEC,10.0,99.073,31.51,43.274,24.289,SOFT,10.0
RUS,10.0,100.532,31.699,44.074,24.759,SOFT,13.0
SAI,10.0,100.102,31.764,43.676,24.662,SOFT,13.0
VER,10.0,98.369,31.361,42.884,24.124,SOFT,13.0
ALO,11.0,101.147,31.657,44.321,25.169,SOFT,14.0
HAM,11.0,100.752,31.823,44.205,24.724,SOFT,14.0
LEC,11.0,99.212,31.556,43.28,24.376,SOFT,11.0
RUS,11.0,101.085,31.772,44.52,24.793,SOFT,14.0
SAI,11.0,100.507,31.836,43.996,24.675,SOFT,14.0
VER,11.0,98.483,31.342,42.978,24.163,SOFT,14.0
ALO,12.0,100.934,31.789,44.062,25.083,SOFT,15.0
HAM,12.0,103.336,31.821,44.259,27.256,SOFT,15.0
LEC,12.0,99.489,31.597,43.406,24.486,SOFT,12.0
RUS,12.0,101.112,32.023,44.122,24.967,SOFT,15.0
SAI,12.0,100.52,31.776,44.006,24.738,SOFT,15.0
VER,12.0,98.591,31.408,42.951,24.232,SOFT,15.0
ALO,13.0,100.341,31.823,43.946,24.572,SOFT,16.0
HAM,13.0,119.179,52.819,42.559,23.801,HARD,1.0
LEC,13.0,102.068,31.703,43.481,26.884,SOFT,13.0
RUS,13.0,104.691,32.276,44.91,27.505,SOFT,16.0
SAI,13.0,103.31,31.93,43.823,27.557,SOFT,16.0
VER,13.0,98.482,31.389,42.907,24.186,SOFT,16.0
ALO,14.0,102.212,31.869,43.309,27.034,SOFT,17.0
HAM,14.0,98.308,30.783,43.351,24.174,HARD,2.0
LEC,14.0,118.77,52.07,42.739,23.961,HARD,1.0
RUS,14.0,121.269,54.862,42.554,23.853,HARD,1.0
SAI,14.0,119.006,52.026,42.788,24.192,HARD,1.0
VER,14.0,101.295,31.427,42.876,26.992,SOFT,17.0
ALO,15.0,119.692,53.186,42.622,23.884,HARD,1.0
HAM,15.0,98.527,31.23,43.259,24.038,HARD,3.0
LEC,15.0,98.477,31.261,43.184,24.032,HARD,2.0
RUS,15.0,97.46,30.812,42.616,24.032,HARD,2.0
SAI,15.0,97.985,31.107,42.86,24.018,HARD,2.0
